"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1357","User login with wrong email or password","LMS system","Mon Nov 10 18:00:34 UTC 2025","passed","Mon Nov 10 18:00:36 UTC 2025","Authorization","Authentication","",""
"","2295","Create course","LMS system","Mon Nov 10 18:00:35 UTC 2025","passed","Mon Nov 10 18:00:37 UTC 2025","Courses","Courses","",""
"","1377","User login with wrong email or password","LMS system","Mon Nov 10 18:00:33 UTC 2025","passed","Mon Nov 10 18:00:34 UTC 2025","Authorization","Authentication","",""
"","1415","Displaying of empty courses list","LMS system","Mon Nov 10 18:00:33 UTC 2025","passed","Mon Nov 10 18:00:34 UTC 2025","Courses","Courses","",""
"","2718","Edit course","LMS system","Mon Nov 10 18:00:39 UTC 2025","passed","Mon Nov 10 18:00:42 UTC 2025","Courses","Courses","",""
"","3229","User login with correct email and password","LMS system","Mon Nov 10 18:00:28 UTC 2025","passed","Mon Nov 10 18:00:31 UTC 2025","Authorization","Authentication","",""
"","1919","Navigation from login page to registration page","LMS system","Mon Nov 10 18:00:28 UTC 2025","passed","Mon Nov 10 18:00:30 UTC 2025","Authorization","Authentication","",""
"","1388","Navigation from registration page to login page","LMS system","Mon Nov 10 18:00:30 UTC 2025","passed","Mon Nov 10 18:00:31 UTC 2025","Registration","Authentication","",""
"","1391","User login with wrong email or password","LMS system","Mon Nov 10 18:00:31 UTC 2025","passed","Mon Nov 10 18:00:33 UTC 2025","Authorization","Authentication","",""
"","1712","Displaying dashboard","LMS system","Mon Nov 10 18:00:37 UTC 2025","passed","Mon Nov 10 18:00:39 UTC 2025","Dashboard","Dashboard","",""
"","1731","Registration with correct email, username and password","LMS system","Mon Nov 10 18:00:36 UTC 2025","passed","Mon Nov 10 18:00:38 UTC 2025","Registration","Authentication","",""
