"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3737","User login with correct email and password","LMS system","Wed Nov 05 08:52:52 UTC 2025","passed","Wed Nov 05 08:52:56 UTC 2025","Authorization","Authentication","",""
"","2944","Create course","LMS system","Wed Nov 05 08:53:23 UTC 2025","passed","Wed Nov 05 08:53:26 UTC 2025","Courses","Courses","",""
"","2247","Navigation from login page to registration page","LMS system","Wed Nov 05 08:52:56 UTC 2025","passed","Wed Nov 05 08:52:58 UTC 2025","Authorization","Authentication","",""
"","1762","User login with wrong email or password","LMS system","Wed Nov 05 08:53:27 UTC 2025","passed","Wed Nov 05 08:53:29 UTC 2025","Authorization","Authentication","",""
"","2184","Registration with correct email, username and password","LMS system","Wed Nov 05 08:53:42 UTC 2025","passed","Wed Nov 05 08:53:44 UTC 2025","Registration","Authentication","",""
"","3954","Edit course","LMS system","Wed Nov 05 08:53:46 UTC 2025","passed","Wed Nov 05 08:53:50 UTC 2025","Courses","Courses","",""
"","1796","Navigation from login page to registration page","LMS system","Wed Nov 05 08:53:02 UTC 2025","passed","Wed Nov 05 08:53:04 UTC 2025","Authorization","Authentication","",""
"","2840","Registration with correct email, username and password","LMS system","Wed Nov 05 08:53:38 UTC 2025","passed","Wed Nov 05 08:53:41 UTC 2025","Registration","Authentication","",""
"","1875","Displaying dashboard","LMS system","Wed Nov 05 08:53:55 UTC 2025","passed","Wed Nov 05 08:53:57 UTC 2025","Dashboard","Dashboard","",""
"","1912","Navigation from login page to registration page","LMS system","Wed Nov 05 08:52:52 UTC 2025","passed","Wed Nov 05 08:52:54 UTC 2025","Authorization","Authentication","",""
"","2098","User login with wrong email or password","LMS system","Wed Nov 05 08:53:15 UTC 2025","passed","Wed Nov 05 08:53:17 UTC 2025","Authorization","Authentication","",""
"","2092","Displaying dashboard","LMS system","Wed Nov 05 08:53:46 UTC 2025","passed","Wed Nov 05 08:53:49 UTC 2025","Dashboard","Dashboard","",""
"","1554","User login with wrong email or password","LMS system","Wed Nov 05 08:53:08 UTC 2025","passed","Wed Nov 05 08:53:10 UTC 2025","Authorization","Authentication","",""
"","2129","Navigation from registration page to login page","LMS system","Wed Nov 05 08:53:08 UTC 2025","passed","Wed Nov 05 08:53:10 UTC 2025","Registration","Authentication","",""
"","1401","Navigation from registration page to login page","LMS system","Wed Nov 05 08:53:11 UTC 2025","passed","Wed Nov 05 08:53:12 UTC 2025","Registration","Authentication","",""
"","1503","Displaying of empty courses list","LMS system","Wed Nov 05 08:53:14 UTC 2025","passed","Wed Nov 05 08:53:15 UTC 2025","Courses","Courses","",""
"","1823","Displaying dashboard","LMS system","Wed Nov 05 08:53:52 UTC 2025","passed","Wed Nov 05 08:53:54 UTC 2025","Dashboard","Dashboard","",""
"","2250","Registration with correct email, username and password","LMS system","Wed Nov 05 08:53:34 UTC 2025","passed","Wed Nov 05 08:53:36 UTC 2025","Registration","Authentication","",""
"","5708","User login with correct email and password","LMS system","Wed Nov 05 08:53:02 UTC 2025","passed","Wed Nov 05 08:53:08 UTC 2025","Authorization","Authentication","",""
"","1598","User login with wrong email or password","LMS system","Wed Nov 05 08:53:30 UTC 2025","passed","Wed Nov 05 08:53:31 UTC 2025","Authorization","Authentication","",""
"","2136","Displaying of empty courses list","LMS system","Wed Nov 05 08:53:18 UTC 2025","passed","Wed Nov 05 08:53:20 UTC 2025","Courses","Courses","",""
"","2790","Create course","LMS system","Wed Nov 05 08:53:33 UTC 2025","passed","Wed Nov 05 08:53:36 UTC 2025","Courses","Courses","",""
"","1907","User login with wrong email or password","LMS system","Wed Nov 05 08:53:24 UTC 2025","passed","Wed Nov 05 08:53:26 UTC 2025","Authorization","Authentication","",""
"","1465","Navigation from registration page to login page","LMS system","Wed Nov 05 08:53:05 UTC 2025","passed","Wed Nov 05 08:53:06 UTC 2025","Registration","Authentication","",""
"","1283","Displaying of empty courses list","LMS system","Wed Nov 05 08:53:21 UTC 2025","passed","Wed Nov 05 08:53:22 UTC 2025","Courses","Courses","",""
"","3277","User login with correct email and password","LMS system","Wed Nov 05 08:52:58 UTC 2025","passed","Wed Nov 05 08:53:01 UTC 2025","Authorization","Authentication","",""
"","2111","User login with wrong email or password","LMS system","Wed Nov 05 08:53:19 UTC 2025","passed","Wed Nov 05 08:53:21 UTC 2025","Authorization","Authentication","",""
"","3286","Create course","LMS system","Wed Nov 05 08:53:28 UTC 2025","passed","Wed Nov 05 08:53:32 UTC 2025","Courses","Courses","",""
"","1574","User login with wrong email or password","LMS system","Wed Nov 05 08:53:10 UTC 2025","passed","Wed Nov 05 08:53:12 UTC 2025","Authorization","Authentication","",""
"","1504","User login with wrong email or password","LMS system","Wed Nov 05 08:53:32 UTC 2025","passed","Wed Nov 05 08:53:33 UTC 2025","Authorization","Authentication","",""
"","3892","Edit course","LMS system","Wed Nov 05 08:53:42 UTC 2025","passed","Wed Nov 05 08:53:45 UTC 2025","Courses","Courses","",""
"","1367","User login with wrong email or password","LMS system","Wed Nov 05 08:53:12 UTC 2025","passed","Wed Nov 05 08:53:13 UTC 2025","Authorization","Authentication","",""
"","3214","Edit course","LMS system","Wed Nov 05 08:53:36 UTC 2025","passed","Wed Nov 05 08:53:40 UTC 2025","Courses","Courses","",""
