"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Navigation from login page to registration page","LMS system","Tue Nov 04 21:48:10 UTC 2025","broken","Tue Nov 04 21:48:10 UTC 2025","Authorization","Authentication","",""
"","0","User login with correct email and password","LMS system","Tue Nov 04 21:48:09 UTC 2025","broken","Tue Nov 04 21:48:09 UTC 2025","Authorization","Authentication","",""
"","0","Create course","LMS system","Tue Nov 04 21:48:11 UTC 2025","broken","Tue Nov 04 21:48:11 UTC 2025","Courses","Courses","",""
"","0","User login with wrong email or password","LMS system","Tue Nov 04 21:48:10 UTC 2025","broken","Tue Nov 04 21:48:10 UTC 2025","Authorization","Authentication","",""
"","0","User login with wrong email or password","LMS system","Tue Nov 04 21:48:09 UTC 2025","broken","Tue Nov 04 21:48:09 UTC 2025","Authorization","Authentication","",""
"","0","Edit course","LMS system","Tue Nov 04 21:48:11 UTC 2025","broken","Tue Nov 04 21:48:11 UTC 2025","Courses","Courses","",""
"","0","Registration with correct email, username and password","LMS system","Tue Nov 04 21:48:10 UTC 2025","broken","Tue Nov 04 21:48:10 UTC 2025","Registration","Authentication","",""
"","0","Navigation from registration page to login page","LMS system","Tue Nov 04 21:48:10 UTC 2025","broken","Tue Nov 04 21:48:10 UTC 2025","Registration","Authentication","",""
"","0","Displaying dashboard","LMS system","Tue Nov 04 21:48:11 UTC 2025","broken","Tue Nov 04 21:48:11 UTC 2025","Dashboard","Dashboard","",""
"","0","Displaying of empty courses list","LMS system","Tue Nov 04 21:48:10 UTC 2025","broken","Tue Nov 04 21:48:10 UTC 2025","Courses","Courses","",""
"","0","User login with wrong email or password","LMS system","Tue Nov 04 21:48:10 UTC 2025","broken","Tue Nov 04 21:48:10 UTC 2025","Authorization","Authentication","",""
